yastrmi01,2021,1,SFN,NL,139,468,75,105,28,3,25,71,4,0,51,131,4,9,1,3,3,,0.224358974
bettsmo01,2021,1,LAN,NL,122,466,93,123,29,3,23,58,10,5,68,86,2,11,0,5,5,,0.263948498
diazya01,2021,1,TBA,AL,134,465,62,119,20,1,13,64,1,1,69,85,4,3,0,4,11,,0.255913978
happia01,2021,1,CHN,NL,148,465,63,105,20,1,25,66,9,2,62,156,0,5,2,1,12,,0.225806452
chishja01,2021,1,MIA,NL,124,464,70,115,20,4,18,53,23,8,34,145,0,4,2,3,3,,0.247844828
grishtr01,2021,1,SDN,NL,132,462,61,112,28,3,15,62,13,5,54,119,2,6,1,4,10,,0.242424242
garciav01,2021,1,MIL,NL,135,461,68,121,18,0,29,86,8,4,38,121,5,11,0,5,12,,0.262472885
wendljo01,2021,1,TBA,AL,136,460,73,122,31,4,11,54,8,6,28,113,4,10,0,3,9,,0.265217391
torregl01,2021,1,NYA,AL,127,459,50,119,22,0,9,51,14,6,50,104,1,1,2,4,12,,0.259259259
solakni01,2021,1,TEX,AL,127,458,57,111,18,2,11,49,7,5,34,107,0,15,2,2,11,,0.242358079
vazquch01,2021,1,BOS,AL,138,458,51,118,23,1,6,49,8,4,33,84,0,2,1,4,15,,0.257641921
